,seq,stdDay,gubun,gubunCn,gubunEn,deathCnt,incDec,isolClearCnt,qurRate,defCnt,isolIngCnt,overFlowCnt,localOccCnt,createDt,updateDt
0,1,2020년 3월 1일 16시,합계,,,18.0,586.0,,,,,,,2020-03-02 19:27:57.57,
1,2,2020년 3월 1일 16시,서울,,,,10.0,,,,,,,2020-03-02 19:27:57.57,
2,3,2020년 3월 1일 16시,부산,,,,3.0,,,,,,,2020-03-02 19:27:57.57,
3,4,2020년 3월 1일 16시,대구,,,9.0,469.0,,,,,,,2020-03-02 19:27:57.57,
4,5,2020년 3월 1일 16시,인천,,,,,,,,,,,2020-03-02 19:27:57.57,
5,6,2020년 3월 1일 16시,광주,,,,,,,,,,,2020-03-02 19:27:57.57,
6,7,2020년 3월 1일 16시,대전,,,,,,,,,,,2020-03-02 19:27:57.57,
7,8,2020년 3월 1일 16시,울산,,,,3.0,,,,,,,2020-03-02 19:27:57.57,
8,9,2020년 3월 1일 16시,세종,,,,,,,,,,,2020-03-02 19:27:57.57,
9,10,2020년 3월 1일 16시,경기,,,1.0,7.0,,,,,,,2020-03-02 19:27:57.57,
10,11,2020년 3월 1일 16시,강원,,,,8.0,,,,,,,2020-03-02 19:27:57.57,
11,12,2020년 3월 1일 16시,충북,,,,1.0,,,,,,,2020-03-02 19:27:57.57,
12,13,2020년 3월 1일 16시,충남,,,,13.0,,,,,,,2020-03-02 19:27:57.57,
13,14,2020년 3월 1일 16시,전북,,,,1.0,,,,,,,2020-03-02 19:27:57.57,
14,15,2020년 3월 1일 16시,전남,,,,,,,,,,,2020-03-02 19:27:57.57,
15,16,2020년 3월 1일 16시,경북,,,8.0,67.0,,,,,,,2020-03-02 19:27:57.57,
16,17,2020년 3월 1일 16시,경남,,,,4.0,,,,,,,2020-03-02 19:27:57.57,
17,18,2020년 3월 1일 16시,제주,,,,,,,,,,,2020-03-02 19:27:57.57,
18,19,2020년 3월 1일 16시,검역,,,,,,,,,,,2020-03-02 19:27:57.57,2020-03-03 20:04:50.50
19,20,2020년 3월 4일 00시,합계,,,32.0,516.0,,10.3,5328.0,,,,2020-03-04 19:44:27.27,
20,21,2020년 3월 4일 00시,서울,,,,1.0,,1,99.0,,,,2020-03-04 19:44:27.27,
21,22,2020년 3월 4일 00시,부산,,,1.0,3.0,,2.7,93.0,,,,2020-03-04 19:44:27.27,
22,23,2020년 3월 4일 00시,대구,,,24.0,405.0,,164.4,4006.0,,,,2020-03-04 19:44:27.27,
23,24,2020년 3월 4일 00시,인천,,,,2.0,,0.3,9.0,,,,2020-03-04 19:44:27.27,
24,25,2020년 3월 4일 00시,광주,,,,2.0,,0.9,13.0,,,,2020-03-04 19:44:27.27,
25,26,2020년 3월 4일 00시,대전,,,,1.0,,1,15.0,,,,2020-03-04 19:44:27.27,
26,27,2020년 3월 4일 00시,울산,,,,3.0,,2,23.0,,,,2020-03-04 19:44:27.27,
27,28,2020년 3월 4일 00시,세종,,,,,,0.3,1.0,,,,2020-03-04 19:44:27.27,
28,29,2020년 3월 4일 00시,경기,,,1.0,7.0,,0.8,101.0,,,,2020-03-04 19:44:27.27,
29,30,2020년 3월 4일 00시,강원,,,,1.0,,1.4,21.0,,,,2020-03-04 19:44:27.27,
30,31,2020년 3월 4일 00시,충북,,,,,,0.7,11.0,,,,2020-03-04 19:44:27.27,
31,32,2020년 3월 4일 00시,충남,,,,1.0,,3.9,82.0,,,,2020-03-04 19:44:27.27,
32,33,2020년 3월 4일 00시,전북,,,,,,0.4,7.0,,,,2020-03-04 19:44:27.27,
33,34,2020년 3월 4일 00시,전남,,,,,,0.3,5.0,,,,2020-03-04 19:44:27.27,
34,35,2020년 3월 4일 00시,경북,,,6.0,89.0,,29.1,774.0,,,,2020-03-04 19:44:27.27,
35,36,2020년 3월 4일 00시,경남,,,,1.0,,1.9,65.0,,,,2020-03-04 19:44:27.27,
36,37,2020년 3월 4일 00시,제주,,,,,,0.4,3.0,,,,2020-03-04 19:44:27.27,
37,38,2020년 3월 5일 00시,합계,,,35.0,438.0,,11.1,5766.0,,,,2020-03-05 15:29:39.39,
38,39,2020년 3월 5일 00시,서울,,,,4.0,,1.1,103.0,,,,2020-03-05 15:29:39.39,2020-03-05 21:05:30.30
39,40,2020년 3월 5일 00시,부산,,,1.0,-1.0,,2.7,92.0,,,,2020-03-05 15:29:39.39,
40,41,2020년 3월 5일 00시,대구,,,27.0,321.0,,177.6,4327.0,,,,2020-03-05 15:29:39.39,
41,42,2020년 3월 5일 00시,인천,,,,,,0.3,9.0,,,,2020-03-05 15:29:39.39,
42,43,2020년 3월 5일 00시,광주,,,,1.0,,1.0,14.0,,,,2020-03-05 15:29:39.39,
43,44,2020년 3월 5일 00시,대전,,,,1.0,,1.1,16.0,,,,2020-03-05 15:29:39.39,
44,45,2020년 3월 5일 00시,울산,,,,,,2.0,23.0,,,,2020-03-05 15:29:39.39,
45,46,2020년 3월 5일 00시,세종,,,,,,0.3,1.0,,,,2020-03-05 15:29:39.39,
46,47,2020년 3월 5일 00시,경기,,,1.0,9.0,,0.8,110.0,,,,2020-03-05 15:29:39.39,
47,48,2020년 3월 5일 00시,강원,,,,2.0,,1.5,23.0,,,,2020-03-05 15:29:39.39,
48,49,2020년 3월 5일 00시,충북,,,,1.0,,0.8,12.0,,,,2020-03-05 15:29:39.39,
49,50,2020년 3월 5일 00시,충남,,,,4.0,,4.1,86.0,,,,2020-03-05 15:29:39.39,
